Awardee;Funds Obligated to Date;Agency
CENTRAL MICHIGAN UNIVERSITY (INC);$184,299;NSF
UNIVERSITY OF CONNECTICUT;$321,000;NSF
UNIVERSITY OF MARYLAND;$225,000;NSF
UNIVERSITY OF NEW ENGLAND;$150,000;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$335,666;NSF
PURDUE UNIVERSITY;$298,388;NSF
ILLINOIS STATE UNIVERSITY;$14,500;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$119,024;NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE;$3,000,000;NSF
NEVADA SYSTEM OF HIGHER EDUCATION;$2,000,000;NSF
MICHIGAN STATE UNIVERSITY;$97,500;NSF
THE AEROSPACE CORPORATION;$2,680,938;NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN;$359,978;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$233,815;NSF
NEW MEXICO MUSEUM OF NATURAL HISTORY FOUNDATION, INC.;$95,314;NSF
NORTH DAKOTA STATE UNIVERSITY;$3,000,000;NSF
NEW MEXICO STATE UNIVERSITY;$0;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$139,359;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$139,243;NSF
TEXAS A & M UNIVERSITY;$310,000;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$144,545;NSF
ARIZONA STATE UNIVERSITY;$274,812;NSF
PURDUE UNIVERSITY;$150,000;NSF
LEMOYNE-OWEN COLLEGE;$1,059,981;NSF
UNIVERSITY OF ILLINOIS;$14,267;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$350,000;NASA
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$129,980;NSF
UNIVERSITY OF WASHINGTON;$74,852;NSF
BAYLOR UNIVERSITY;$111,215;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$134,862;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;$292,563;NSF
GEORGIA TECH RESEARCH CORPORATION;$113,771;NSF
UNIVERSITY OF RHODE ISLAND;$2,000,000;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$100,036;NSF
UNIVERSITY OF WASHINGTON;$178,831;NASA
WOODS HOLE OCEANOGRAPHIC INSTITUTION;$236,565;NASA
REGENTS OF THE UNIVERSITY OF MINNESOTA;$156,738;NASA
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$159,816;NSF
UNIVERSITY OF ILLINOIS;$180,001;NSF
UNIVERSITY OF VERMONT & STATE AGRICULTURAL COLLEGE;$2,000,000;NSF
REGENTS OF THE UNIVERSITY OF IDAHO;$2,000,000;NSF
UNIVERSITY OF DELAWARE;$2,000,000;NSF
UNIVERSITY OF NEW MEXICO;$2,000,000;NSF
SOUTH DAKOTA STATE UNIVERSITY;$3,000,000;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$99,973;NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN;$230,277;NSF
NATIONAL ACADEMY OF SCIENCES;$464,234;NSF
TRUSTEES OF DARTMOUTH COLLEGE;$0;NSF
UNIVERSITY OF CINCINNATI;$153,001;NSF
OLD DOMINION UNIVERSITY RESEARCH FOUNDATION;$92,279;NASA
FRED HUTCHINSON CANCER RESEARCH CENTER;$1,200,000;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$138,479;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$500,000;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$498,332;NSF
MONTANA STATE UNIVERSITY, INC;$750,000;NASA
WOODS HOLE OCEANOGRAPHIC INSTITUTION;$302,138;NSF
NEW YORK INSTITUTE OF TECHNOLOGY INC;$16,142;NSF
UNIVERSITY OF KENTUCKY;$260,043;NSF
NORTHERN ARIZONA UNIVERSITY;$229,336;NSF
GEORGIA TECH RESEARCH CORPORATION;$253,725;NSF
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$166,962;NSF
PURDUE UNIVERSITY;$263,990;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$97,256;NSF
UNIVERSITY OF MARYLAND;$92,048;NASA
GEORGIA TECH RESEARCH CORPORATION;$75,158;NASA
UNIVERSITY OF MISSOURI SYSTEM;$400,017;NSF
MICHIGAN STATE UNIVERSITY;$273,419;NSF
CENTRAL MICHIGAN UNIVERSITY (INC);$80,000;NSF
WAYNE STATE UNIVERSITY (INC);$134,000;NSF
CASE WESTERN RESERVE UNIVERSITY;$107,112;NSF
DUKE UNIVERSITY;$367,001;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$192,999;NSF
PRESIDENT & TRUSTEES OF WILLIAMS COLLEGE;$135,610;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$500,000;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$338,430;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$134,999;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$210,000;NSF
UNIVERSITY OF IOWA, THE;$193,614;NSF
CARNEGIE MELLON UNIVERSITY;$1,122,000;NSF
POMONA COLLEGE;$199,017;NSF
GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.;$316,488;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$494,940;NSF
OHIO STATE UNIVERSITY, THE;$163,000;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$136,000;NSF
CASE WESTERN RESERVE UNIVERSITY;$180,000;NSF
FLORIDA STATE UNIVERSITY, THE;$175,001;NSF
JOHNS HOPKINS UNIVERSITY, THE;$300,000;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$224,777;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$300,000;NSF
LAKE SUPERIOR STATE UNIVERSITY;$26,158;NSF
;$170,000;NSF
UNIVERSITY OF CONNECTICUT;$94,051;NSF
NEVADA SYSTEM OF HIGHER EDUCATION;$50,716;NSF
UNIVERSITY OF NOTRE DAME DU LAC;$338,679;NSF
TEXAS A & M UNIVERSITY;$340,000;NSF
UNIVERSITY OF UTAH, THE;$138,000;NSF
SOUTH DAKOTA SCHOOL OF MINES & TECHNOLOGY;$223,718;NSF
GEORGETOWN UNIVERSITY (THE);$8,323;NSF
CASE WESTERN RESERVE UNIVERSITY;$183,159;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$244,764;NSF
BROOKHAVEN SCIENCE ASSOCIATES, LLC;$42,968;NSF
UNIVERSITY OF ALASKA ANCHORAGE;$356,271;NSF
WASHINGTON UNIVERSITY, THE;$402,844.25;NASA
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$148,047;NSF
NATIONAL COLLEGIATE INVENTORS & INNOVATORS ALLIANCE;$2,341,084;NSF
MICHIGAN STATE UNIVERSITY;$1,462,073;NSF
UNIVERSITY OF CONNECTICUT;$439,988;NSF
OHIO STATE UNIVERSITY, THE;$412,746;NSF
UNIVERSITY OF NEW MEXICO;$220,140;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$575,000;NSF
THE UNIVERSITY OF AKRON;$310,000;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$59,983;NASA
UNIVERSITIES SPACE RESEARCH ASSOCIATION;$28,793;NASA
UNIVERSITY OF ILLINOIS;$657,009;NSF
OREGON STATE UNIVERSITY;$458,901;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$87,500;NSF
UNIVERSITY OF MASSACHUSETTS;$325,000;NSF
CATHOLIC UNIVERSITY OF AMERICA (THE);$200,710;NSF
IDAHO STATE UNIVERSITY;$600,000;NSF
GEORGIA TECH RESEARCH CORPORATION;$310,000;NSF
UNIVERSITY OF NEW MEXICO;$174,496;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$250,594;NSF
YALE UNIVERSITY;$280,000;NSF
UNIVERSITY OF UTAH, THE;$450,788;NSF
UNIVERSITY OF CENTRAL FLORIDA;$87,500;NSF
UNIVERSITY OF MARYLAND;$153,369;NASA
MONTANA STATE UNIVERSITY, INC;$74,953;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$600,000;NSF
UNIVERSITY CORPORATION, THE;$661,063;NSF
ARIZONA STATE UNIVERSITY;$320,000;NSF
ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND, THE;$14,087;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$150,000;NASA
UNIVERSITY OF WISCONSIN SYSTEM;$260,000;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$299,999;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$462,514;NSF
AMERICAN UNIVERSITY;$16,975;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$108,044;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$11,456;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$223,507;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;$300,000;NSF
UNIVERSITY OF SOUTH CAROLINA;$56,127.3;NSF
TENNESSEE TECHNOLOGICAL UNIVERSITY;$0;NSF
UNIVERSITY OF WASHINGTON;$186,583;NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY;$159,998;NSF
NORTH CAROLINA STATE UNIVERSITY;$250,000;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$330,000;NSF
UNIVERISTY OF MISSISSIPPI MEDICAL CENTER;$44,235;NASA
REGENTS OF THE UNIVERSITY OF MINNESOTA;$501,000;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$360,000;NSF
UNIVERSITY OF FLORIDA;$174,925;NSF
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.;$250,557;NSF
UNIVERSITY OF HAWAII SYSTEMS;$14,472;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$14,903;NSF
CLARKSON UNIVERSITY;$202,399;NSF
UNIVERSITY OF ARIZONA;$12,903;NSF
UNIVERSITY OF MARYLAND;$19,737;NSF
COLORADO STATE UNIVERSITY;$19,273;NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION;$149,518;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$314,563;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$25,200;NSF
CASE WESTERN RESERVE UNIVERSITY;$142,420;NSF
UNIVERSITY OF MIAMI;$375,000;NSF
UNIVERSITY OF CHICAGO, THE;$12,364;NSF
UNIVERSITY OF CONNECTICUT;$347,015;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$14,488;NSF
UNIVERSITY OF MISSOURI SYSTEM;$102,298;NSF
UNIVERSITY OF NORTH CAROLINA AT GREENSBORO;$155,817;NSF
TRUSTEES OF DARTMOUTH COLLEGE;$359,999;NSF
UNIVERSITY OF ARIZONA;$338,553;NSF
OKLAHOMA STATE UNIVERSITY;$79,952;NSF
LOUISIANA STATE UNIVERSITY SYSTEM;$166,644;NSF
;$207,000;NSF
;$210,100;NSF
;$138,000;NSF
ARIZONA STATE UNIVERSITY;$50,930;NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;$9,198;NSF
EMORY UNIVERSITY;$29,358;NSF
UNIVERSITY OF CINCINNATI;$246,000;NSF
ARIZONA STATE UNIVERSITY;$178,000;NSF
TRUSTEES OF BOSTON UNIVERSITY;$77,795;NSF
NORTHWESTERN UNIVERSITY;$254,800;NSF
UNIVERSITY OF WASHINGTON;$350,000;NSF
NEW YORK BOTANICAL GARDEN, THE;$694,370;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$104,425;NSF
NATIONAL ACADEMY OF SCIENCES;$50,000;NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE;$506,019;NSF
SCIENCE MUSEUM OF MINNESOTA, THE;$118,000;NSF
UNIVERSITY OF ARIZONA;$184,058;NSF
YALE UNIVERSITY;$300,000;NSF
UNIVERSITY OF RHODE ISLAND;$19,782;NSF
UNIVERSITY OF CINCINNATI;$138,292;NSF
UNIVERSITY OF IOWA, THE;$9,483;NSF
WAYNE STATE UNIVERSITY (INC);$24,958;NSF
TEXAS A&M AGRILIFE RESEARCH;$421,600;NSF
UNIVERSITY OF OKLAHOMA;$314,849;NSF
UNIVERSITY OF OKLAHOMA;$314,849;NSF
OKLAHOMA STATE UNIVERSITY;$439,041;NSF
UNIVERSITY OF TEXAS AT DALLAS;$239,109;NSF
OHIO STATE UNIVERSITY, THE;$1,000,000;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$215,432;NSF
UNIVERSITY OF TEXAS AT ARLINGTON;$639,178;NSF
FLORIDA STATE UNIVERSITY, THE;$0;NSF
DUKE UNIVERSITY;$10,241;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$399,817;NSF
GEORGIA TECH RESEARCH CORPORATION;$330,520;NSF
UNIVERSITY OF MARYLAND;$437,651;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$296,122;NSF
UNIVERSITY OF NORTH TEXAS;$310,256;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$165,755;NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE;$1,857,604;NSF
UNIVERSITY OF WASHINGTON;$128,276;NSF
TRUSTEES OF CLARK UNIVERSITY;$15,967;NSF
UNIVERSITY OF MISSOURI SYSTEM;$714,118;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$322,877;NSF
UNIVERSITY OF PITTSBURGH THE;$271,755;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$3,406,833;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$138,696;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$165,604;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$200,000;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$25,200;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$315,518;NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;$5,670;NSF
TEXAS A & M UNIVERSITY;$110,641;NSF
UNIVERSITY OF DELAWARE;$117,290;NSF
UNIVERSITY OF KANSAS MEDICAL CENTER RESEARCH INSTITUTE, INC.;$60,000;NASA
FLORIDA STATE UNIVERSITY, THE;$249,998;NSF
GEORGIA TECH RESEARCH CORPORATION;$0;NSF
ARIZONA STATE UNIVERSITY;$306,000;NSF
AUBURN UNIVERSITY;$347,394;NSF
UNIVERSITY OF NEVADA, RENO;$174,022;NSF
UNIVERSITY OF WASHINGTON;$266,546;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$400,000;NSF
FIELD MUSEUM OF NATURAL HISTORY;$148,499;NSF
JOHNS HOPKINS UNIVERSITY, THE;$60,000;NASA
UNIVERSITY OF WASHINGTON;$197,344;NASA
UNIVERSITY OF ROCHESTER;$551,005;NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE;$300,000;NSF
LOUISIANA STATE UNIVERSITY SYSTEM;$69,985;NSF
UNIVERSITY OF FLORIDA;$175,184;NASA
COLORADO STATE UNIVERSITY;$43,725;NASA
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$60,000;NASA
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$60,000;NASA
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$60,000;NASA
UNIVERSITY OF RHODE ISLAND;$335,831;NSF
WORCESTER POLYTECHNIC INSTITUTE;$189,952;NSF
CALIFORNIA ACADEMY OF SCIENCES;$9,580;NSF
UNIVERSITY OF MISSOURI SYSTEM;$252,711;NSF
SAN DIEGO STATE UNIVERSTIY FOUNDATION;$59,347;NASA
CENTRAL MICHIGAN UNIVERSITY (INC);$170,000;NSF
UNIVERSITY OF FLORIDA;$169,155;NASA
UNIVERSITY OF CALIFORNIA, IRVINE;$220,000;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$163,614;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$250,000;NASA
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$1,399,997;NSF
NATIONAL ACADEMY OF SCIENCES;$723,001;NSF
WASHINGTON STATE UNIVERSITY;$900,000;NSF
LEHIGH UNIVERSITY;$191,892;NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;$300,000;NSF
CARNEGIE MELLON UNIVERSITY;$336,568;NSF
UNIVERSITY OF NOTRE DAME DU LAC;$147,652;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$329,985;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$160,000;NSF
UNIVERSITY OF FLORIDA;$220,000;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$99,944;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$130,350;NSF
AMERICAN STATISTICAL ASSOCIATION;$16,800;NSF
MONTANA STATE UNIVERSITY, INC;$202,113;NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION;$217,000;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$600,000;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$569,999;NSF
UNIVERSITY OF ARIZONA;$250,001;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$418,900;NSF
UNIVERSITY OF TEXAS AT SAN ANTONIO;$278,000;NSF
UNIVERSITY OF SOUTH CAROLINA;$8,851;NSF
OHIO STATE UNIVERSITY, THE;$300,000;NSF
NORTHWESTERN UNIVERSITY;$195,000;NSF
ILLINOIS INSTITUTE OF TECHNOLOGY;$154,999;NSF
UNIVERSITY OF SOUTH CAROLINA;$184,111;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$88,883;NSF
UNIVERSITY OF PITTSBURGH THE;$183,000;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$407,100;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$269,950;NSF
ROCHESTER INSTITUTE OF TECHNOLOGY (INC);$244,295;NSF
BIGELOW LABORATORY FOR OCEAN SCIENCES;$254,432;NSF
ARIZONA STATE UNIVERSITY;$140,126;NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION;$385,524;NSF
UNIVERSITY OF HOUSTON SYSTEM;$25,000;NSF
CARNEGIE MELLON UNIVERSITY;$290,000;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$60,000;NASA
CLEMSON UNIVERSITY;$60,000;NASA
UNIVERSITY OF ALABAMA IN HUNTSVILLE;$60,000;NASA
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$60,000;NASA
UNIVERSITY OF CALIFORNIA MERCED;$256,049;NSF
BERMUDA INSTITUTE OF OCEAN SCIENCES (BIOS) INC.;$2,895,484;NSF
GEORGIA TECH RESEARCH CORPORATION;$296,535;NSF
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$2,333,004;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$198,957;NSF
SYRACUSE UNIVERSITY;$290,978;NSF
SANTA FE INSTITUTE OF SCIENCE;$200,000;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$370,000;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$14,962;NSF
UNIVERSITY OF IOWA, THE;$60,000;NASA
FLORIDA STATE UNIVERSITY, THE;$60,000;NASA
CORNELL UNIVERSITY, INC;$182,500;NSF
NORTH CAROLINA STATE UNIVERSITY;$0;NSF
UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.;$469,602;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$246,520;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$483,955;NSF
RENSSELAER POLYTECHNIC INSTITUTE;$303,037;NSF
FISK UNIVERSITY;$394,952;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$320,000;NSF
FISK UNIVERSITY;$399,928;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$300,035;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$341,714;NSF
NORTH CAROLINA STATE UNIVERSITY;$224,657;NSF
FLORIDA STATE UNIVERSITY, THE;$399,801;NSF
GEORGE MASON UNIVERSITY;$100,000;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$20,815;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$279,268;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;$175,511;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$250,000;NSF
UNIVERSITY OF HAWAII SYSTEMS;$499,776;NSF
MICHIGAN STATE UNIVERSITY;$218,566;NSF
UNIVERSITY OF MISSOURI SYSTEM;$300,000;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$196,560;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$629,277;NSF
NORTHWESTERN UNIVERSITY;$299,999;NSF
COLORADO STATE UNIVERSITY;$599,999;NSF
BOSTON COLLEGE, TRUSTEES OF;$1,196,874;NSF
UNIVERSITY OF CINCINNATI;$160,000;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$410,918;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$260,000;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$8,000;NSF
;$207,000;NSF
;$140,000;NSF
;$216,000;NSF
;$207,000;NSF
;$172,000;NSF
;$140,000;NSF
DUKE UNIVERSITY;$305,001;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK (INC);$377,510;NSF
MARINE ENVMTL SCNCES CNSORTIUM;$314,725;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$50,000;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$670,710;NSF
UNIVERSITY OF IOWA, THE;$200,000;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$150,309;NSF
UNIVERSITY OF OREGON;$186,732;NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;$213,271;NSF
MICHIGAN SCIENCE CENTER;$193,135.94;NASA
OKLAHOMA STATE UNIVERSITY;$148,421;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$561,351;NSF
CARNEGIE MELLON UNIVERSITY;$639,240;NSF
AMERICAN GEOPHYSICAL UNION;$15,000;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;$11,840;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$266,271;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;$84,225;NSF
UNIVERSITY OF MEMPHIS, THE;$220,000;NSF
KENT STATE UNIVERSITY;$134,535;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$15,967;NSF
UNIVERSITY OF ARIZONA;$16,000;NSF
TRUSTEES OF INDIANA UNIVERSITY;$111,904;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$91,794;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$542,073;NSF
HAMPTON UNIVERSITY;$459,948;NSF
CARNEGIE INSTITUTION OF WASHINGTON;$356,047;NASA
UNIVERSITY OF RHODE ISLAND;$145,000;NSF
THE UNIVERSITY OF AKRON;$134,925;NSF
VANDERBILT UNIVERSITY, THE;$94,805;NSF
UNIVERSITY OF MARYLAND;$341,270;NSF
CARNEGIE INSTITUTION OF WASHINGTON;$170,000;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$24,872;NSF
SMITHSONIAN INSTITUTION;$50,555;NASA
CAL POLY CORPORATION;$99,906;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$50,000;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$49,994;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$832,229;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$100,006;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$215,297;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$123,297;NSF
TEXAS A & M UNIVERSITY;$263,035;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;$224,648;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$113,306;NSF
UNIVERSITY OF TULSA, THE;$98,378;NSF
WRIGHT STATE UNIVERSITY;$50,000;NSF
GEORGIA TECH RESEARCH CORPORATION;$50,000;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$149,995;NSF
LOUISIANA STATE UNIVERSITY SYSTEM;$169,996;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$136,000;NASA
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$136,000;NASA
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$135,510;NASA
LOCKHEED MARTIN CORPORATION;$254,839;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$200,000;NSF
KUTZTOWN UNIVERSITY OF PENNSYLVANIA;$80,000;NSF
UNIVERSITY OF ILLINOIS;$210,341;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$280,000;NSF
UNIVERSITY OF MISSOURI SYSTEM;$800,284;NSF
OHIO STATE UNIVERSITY, THE;$50,000;NSF
UNIVERSITY OF MISSOURI SYSTEM;$178,573;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$575,645;NSF
MICHIGAN STATE UNIVERSITY;$121,105;NSF
INTERNATIONAL SPACE UNIVERSITY ORGANIZATION, INC.;$49,715;NASA
WOODS HOLE OCEANOGRAPHIC INSTITUTION;$0;NSF
UNIVERSITY OF TENNESSEE;$100,000;NSF
UNIVERSITY OF TEXAS AT DALLAS;$150,608;NSF
UNIVERSITY OF DELAWARE;$483,437;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$50,000;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$600,315;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$68,223;NSF
NORTH CAROLINA STATE UNIVERSITY;$109,999;NSF
OHIO UNIVERSITY;$145,000;NSF
UNIVERSITY OF ARIZONA;$354,739;NSF
UNIVERSITY OF SOUTH FLORIDA;$68,459;NASA
TEXAS A & M UNIVERSITY;$261,288;NASA
BERKELEY GEOCHRONOLOGY CENTER;$309,967;NSF
UNIVERSITY OF MARYLAND;$370,184;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;$272,879;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$540,000;NSF
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY INC;$137,775.02;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$175,399;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$299,999;NSF
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$6,300;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$250,000;NSF
SOUTHERN METHODIST UNIVERSITY INC;$25,200;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$336,001;NSF
OLD DOMINION UNIVERSITY RESEARCH FOUNDATION;$116,289;NSF
AMERICAN MATHEMATICAL SOCIETY;$816,472;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$92,238;NSF
